direction,metric,n_obs,n_kinase,n_gpcr,r_squared,intercept,slope_kinase,slope_kinase_p,slope_kinase_ci_low,slope_kinase_ci_high,slope_gpcr,slope_gpcr_p,slope_gpcr_ci_low,slope_gpcr_ci_high,interaction_p
delta_random_to_scaffold,n_scaffolds,235,199,36,0.0040702463333643,0.1291985585198986,-9.052838927999402e-06,0.5731048071250157,-4.066196337963149e-05,2.2556285523632683e-05,4.836122281275121e-06,0.901089213999354,-7.174626118312432e-05,8.141850574567456e-05,0.7414714931061054
delta_random_to_scaffold,scaffold_entropy,235,199,36,0.0413897806656896,-0.3566388631696536,-0.0075141214305893,0.5401856390586987,-0.0316482672140038,0.0166200243528251,0.0859066712168608,0.0030536581111698,0.0293720351073916,0.1424413073263299,0.0030493769588402
delta_random_to_scaffold,largest_cluster_fraction,235,199,36,0.0911746538941705,0.2716277883367083,0.2051579315841776,0.1784364231698124,-0.0943328823064694,0.5046487454748246,-2.707519108268066,8.747106124979873e-06,-3.880482160739101,-1.5345560557970317,3.72914904843568e-06
delta_random_to_scaffold,mean_tanimoto,235,199,36,0.0306154473889724,0.4501490494354925,-0.0373313070824101,0.8682311111634927,-0.4801828506700352,0.4055202365052149,-1.9067396315239444,0.0105875219198839,-3.364553248480428,-0.4489260145674607,0.0164035493068702
delta_random_to_scaffold,activity_cliff_frequency,235,199,36,0.0101722302382067,0.128890523850909,-6.585946592578457,0.1982003931416649,-16.641865359662262,3.469972174505349,14.61784085660087,0.7583625358452512,-78.89405715695054,108.12973887015228,0.6573132892157899
delta_scaffold_to_target,n_scaffolds,29,24,5,0.0640629783004395,-0.0332183419712509,-7.729060462792057e-07,0.993240985073512,-0.0001868127585563,0.0001852669464637,-1.4450839420580789e-05,0.954540060018834,-0.0005313227050469,0.0005024210262057,0.95950936014039
delta_scaffold_to_target,scaffold_entropy,29,24,5,0.1200023041814623,0.1420868598810852,-0.0615002848438733,0.2362115382763367,-0.1658622849658796,0.0428617152781329,-0.0335148533279929,0.7321781184037349,-0.2329632459762235,0.1659335393202376,0.8000087280983008
delta_scaffold_to_target,largest_cluster_fraction,29,24,5,0.1105611587752209,-0.0963710974331217,1.0815231140986277,0.3109990034889102,-1.0725069346728129,3.235553162870068,0.8991703256395194,0.6276259774015758,-2.871555930209277,4.669896581488315,0.9317712287811398
delta_scaffold_to_target,mean_tanimoto,29,24,5,0.4378755458034784,-0.1749923979521254,2.30937576338042,0.0004826999068731,1.1233217495353516,3.495429777225488,0.7632254024765796,0.4654803566772926,-1.357524962441122,2.883975767394281,0.2019391848524981
delta_scaffold_to_target,activity_cliff_frequency,29,24,5,0.1068994734199366,-0.0372408937207281,46.05995621579425,0.2840641183271111,-40.592461662693914,132.7123740942824,-13.715251473247363,0.9489592118999018,-450.57293852908975,423.14243558259506,0.7844970049813885
esm_advantage_random,mean_binding_site_plddt,239,203,36,0.5622823090345737,-1.1609178686572839,-0.0013711841562245135,0.2633829604683334,-0.003780733663365513,0.0010383653509164858,0.009140242954293668,0.0528410792955391,-0.0001130145392331354,0.018393500447820472,0.031335698106376174
plddt_distribution,ks_2sample,239,203,36,,,0.2917350848385331,0.008375941163062875,,,,,,,
plddt_distribution,welch_t,239,203,36,,,4.024183361287629,0.00014057094840416005,,,,,,,
